archivo,clase_real,clase_predicha,probabilidad
prompt_1_classical_AIVA.png,classical,pop,0.6316
prompt_1_classical_MusicGen.png,classical,pop,0.8734
prompt_1_classical_Suno.png,classical,pop,0.3579
prompt_2_classical_AIVA.png,classical,classical,0.2963
prompt_2_classical_MusicGen.png,classical,classical,0.9477
prompt_2_classical_Suno.png,classical,classical,0.9699
prompt_3_classical_AIVA.png,classical,classical,0.9745
prompt_3_classical_MusicGen.png,classical,classical,0.344
prompt_3_classical_Suno.png,classical,classical,0.9518
prompt_4_classical_AIVA.png,classical,disco,0.3431
prompt_4_classical_MusicGen.png,classical,classical,0.5636
prompt_4_classical_Suno.png,classical,classical,0.6127
prompt_5_classical_AIVA.png,classical,classical,0.8532
prompt_5_classical_MusicGen.png,classical,classical,0.9462
prompt_5_classical_Suno.png,classical,classical,0.928
prompt_1_jazz_AIVA.png,jazz,pop,0.9489
prompt_1_jazz_MusicGen.png,jazz,pop,0.5793
prompt_1_jazz_Suno.png,jazz,country,0.6158
prompt_2_jazz_AIVA.png,jazz,pop,0.6588
prompt_2_jazz_MusicGen.png,jazz,pop,0.5439
prompt_2_jazz_Suno.png,jazz,reggae,0.7798
prompt_3_jazz_AIVA.png,jazz,pop,0.8935
prompt_3_jazz_MusicGen.png,jazz,pop,0.4836
prompt_3_jazz_Suno.png,jazz,jazz,0.8938
prompt_4_jazz_AIVA.png,jazz,pop,0.9846
prompt_4_jazz_MusicGen.png,jazz,pop,0.7232
prompt_4_jazz_Suno.png,jazz,jazz,0.8916
prompt_5_jazz_AIVA.png,jazz,blues,0.3261
prompt_5_jazz_MusicGen.png,jazz,blues,0.7003
prompt_5_jazz_Suno.png,jazz,blues,0.7065
prompt_1_metal_AIVA.png,metal,metal,0.5095
prompt_1_metal_MusicGen.png,metal,metal,0.9521
prompt_1_metal_Suno.png,metal,metal,0.2448
prompt_2_metal_AIVA.png,metal,metal,0.8572
prompt_2_metal_MusicGen.png,metal,metal,0.947
prompt_2_metal_Suno.png,metal,metal,0.2751
prompt_3_metal_AIVA.png,metal,country,0.3367
prompt_3_metal_MusicGen.png,metal,metal,0.9891
prompt_3_metal_Suno.png,metal,metal,0.9546
prompt_4_metal_AIVA.png,metal,metal,0.8974
prompt_4_metal_MusicGen.png,metal,metal,0.8726
prompt_4_metal_Suno.png,metal,metal,0.5342
prompt_5_metal_AIVA.png,metal,rock,0.5194
prompt_5_metal_MusicGen.png,metal,metal,0.9078
prompt_5_metal_Suno.png,metal,metal,0.9744
